Mesh,z,x,y,r,T,U,Vol
0.0,1.0,0.0019022674823645502,-0.0007194189965957776,0.002033761359433412,320.212,0.188581,1.0674198440344167e-10
0.0,1.0,0.001998057501623407,-0.0002482724019046145,0.002013423195788967,319.89,0.206244,1.186430650610929e-10
0.0,2.0,0.00044000125490128994,0.0015346449799835682,0.0015964762193354076,317.243,0.483576,6.102213446284424e-11
0.0,2.0,0.00013198934993852163,0.0016191924805752933,0.0016245631651766468,317.544,0.464243,5.8121358266028074e-11
0.0,2.0,0.00019128419717162615,0.0013039099867455661,0.0013178660393311666,314.098,0.647332,5.771813434217259e-11
0.0,2.0,-0.0004299092433939222,-0.0015383149730041623,0.0015972585619505476,317.251,0.483197,6.099991018951606e-11
0.0,2.0,-0.0001222157470692764,-0.001622567477170378,0.0016271637615196408,317.572,0.462512,5.7711709920420564e-11
0.0,2.0,-0.00017952462621906307,-0.0013089574640616775,0.0013212110861409965,314.137,0.645567,5.735339151925228e-11
0.0,2.0,0.00014761189333967195,0.0003355598441885377,0.0003665919803912224,306.153,0.953427,1.2172666674274378e-10
0.0,2.0,0.00033325439392228873,-9.669365817899234e-05,0.00034699878184303156,306.052,0.956358,1.2858152286124629e-10
0.0,2.0,-2.6764499125420116e-05,0.0007514902608818375,0.0007519667217461732,308.63,0.870893,1.0513225715974978e-10
0.0,2.0,-0.0004745370060845744,0.0005318779913068283,0.0007127970032065917,308.288,0.882298,1.201308126041728e-10
0.0,2.0,-0.00032263235959817393,8.19830843283853e-05,0.0003328856644193026,305.992,0.958221,1.2899533972075734e-10
0.0,2.0,-0.00013641885641391127,-0.0003496704098324699,0.0003753391798063277,306.193,0.952164,1.2106577212096768e-10
0.0,2.0,3.901420313923154e-05,-0.0007615099893882871,0.0007625087356776566,308.724,0.867593,1.0373161509562559e-10
0.0,2.0,0.00048585975673631765,-0.0005428987496998161,0.0007285593700183241,308.418,0.877813,1.185564699861562e-10
0.0,2.0,0.0009852977527771145,-0.00031902675436867867,0.0010356590807937933,311.067,0.779114,1.5016954413124043e-10
0.0,2.0,0.0008407967543462291,0.00018322999494557735,0.0008605303092668553,309.463,0.840675,1.60980201566069e-10
0.0,2.0,0.0006000364955980331,0.0006127874949015677,0.0008576434631927811,309.491,0.840105,1.2401354300596814e-10
0.0,2.0,0.00037690075077989604,0.0009860057616606355,0.0010555858742738173,311.41,0.766235,9.175888560695332e-11
0.0,2.0,-0.00016485580363223562,0.0011490069882711396,0.0011607732315517725,312.482,0.721123,8.572933921752677e-11
0.0,2.0,-0.0005770889983978122,0.0009793072240427136,0.0011366944845181734,312.222,0.73209,1.014348135245698e-10
0.0,2.0,-0.0010144239786313847,0.000813432241557166,0.0013002799775536974,313.895,0.657649,1.0484952135410239e-10
0.0,2.0,-0.0009762684931047261,0.00030870375303493347,0.0010239131690562564,310.942,0.783979,1.5218920834436809e-10
0.0,2.0,-0.0008315737504744902,-0.00019670300571306143,0.0008545214888665834,309.402,0.842818,1.6182111588646524e-10
0.0,2.0,-0.0005889507447136566,-0.0006245370022952557,0.0008584342997193873,309.5,0.839738,1.2302084091145995e-10
0.0,2.0,-0.00036475104752753396,-0.0009935924754245207,0.0010584277650801967,311.443,0.764942,9.094695840829006e-11
0.0,2.0,0.0001765796241670614,-0.0011546422174433246,0.0011680663568365533,312.56,0.717788,8.490358395155228e-11
0.0,2.0,0.0005880255048396066,-0.0009847509791143239,0.0011469561827761746,312.333,0.727374,9.988720281774083e-11
0.0,2.0,0.0010233252542093396,-0.0008180762524716556,0.0013101310357214952,314.003,0.652503,1.0270624891023119e-10
0.0,2.0,0.0015033124946057796,-0.0002240496567083028,0.0015199166770283694,316.067,0.549419,1.362298674390398e-10
0.0,2.0,0.0016363325121346861,0.00027078059542873234,0.001658585608622525,317.475,0.471611,1.0863491225406031e-10
0.0,2.0,0.0012956667633261532,0.0005685064879799029,0.001414903526203576,314.998,0.605121,1.44467185980039e-10
0.0,2.0,0.0010076580074382946,0.00095613747544121,0.0013890909012363461,314.885,0.612635,1.224285245258835e-10
0.0,2.0,0.0007200927648227662,0.0012847197212977335,0.0014727655455779177,315.864,0.562551,9.606990284817517e-11
0.0,2.0,-0.00024133165334205842,0.0015502424794249237,0.0015689145011498703,316.865,0.505104,8.564475045166436e-11
0.0,2.0,-0.0006508852529805154,0.0014186724729370326,0.0015608597624440143,316.721,0.512817,9.695478289925956e-11
0.0,2.0,-0.0010560839873505756,0.0012552974949358031,0.0016404527390724774,317.512,0.465063,8.767896565803671e-11
0.0,2.0,-0.0014235149719752371,0.0011210972734261304,0.0018119751576445974,319.161,0.356484,6.074163816875463e-11
0.0,2.0,-0.001454479992389679,0.0007133817634894513,0.0016200078977403783,317.266,0.480815,9.775583769281121e-11
0.0,2.0,-0.0014979899860918522,0.00021445875449899177,0.0015132635447312958,315.991,0.553451,1.3903322029268065e-10
0.0,2.0,-0.0016315299726556987,-0.0002812260006521683,0.001655589959838099,317.433,0.473846,1.0767753201450912e-10
0.0,2.0,-0.0012897429842269048,-0.0005788722537545254,0.0014136937615797014,314.977,0.606151,1.4524499164093206e-10
0.0,2.0,-0.000999167503323406,-0.0009640667412895709,0.0013884381085803648,314.88,0.612967,1.2233838836018803e-10
0.0,2.0,-0.000710226253431756,-0.0012898374698124826,0.00147244763220835,315.862,0.562741,9.607678233559729e-11
