                    QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
216      Tavg_z0.001_t1       0  2.0  0.0   14  300.001173 -5.482550e-05  0.250000  2.144277e-06      NaN
217      Tavg_z0.001_t1       0  2.0  0.0   15  300.001163 -1.739540e-02  1.549278  1.755799e-06      NaN
218      Tavg_z0.001_t1       0  2.0  0.0   16  300.001175 -6.422774e-05  0.250000  2.872417e-06      NaN
219      Tavg_z0.001_t1       0  2.0  0.0   17  300.001168 -3.031488e-05  0.250000  2.001137e-06      NaN
220      Tavg_z0.001_t1       0  2.0  0.0   18  300.001170 -4.790103e-05  0.250000  3.051993e-06      NaN
221      Tavg_z0.001_t1       0  2.0  0.0   19  300.001163 -2.718080e-04  0.863281  2.419544e-06      NaN
222      Tavg_z0.001_t1       0  2.0  0.0   20  300.001172 -5.361972e-05  0.250000  2.054740e-06      NaN
223      Tavg_z0.001_t1       0  2.0  0.0   21  300.001166 -2.552472e-05  0.250000  2.741239e-06      NaN
224      Tavg_z0.001_t1       0  2.0  0.0   22  300.001174 -6.966423e-05  0.250000  2.728137e-06      NaN
225      Tavg_z0.001_t1       0  2.0  0.0   23  300.001172 -4.598567e-05  0.250000  1.624527e-06      NaN
226      Tavg_z0.001_t1       0  2.0  0.0   24  300.001165 -1.018614e-03  0.965348  1.273311e-06      NaN
227      Tavg_z0.001_t1       0  2.0  0.0   25  300.001167 -1.399687e-04  0.553413  1.058529e-06      NaN
228      Tavg_z0.001_t1       0  2.0  0.0   26  300.001173 -5.147884e-05  0.250000  1.187544e-06      NaN
229      Tavg_z0.001_t1       0  2.0  0.0   27  300.001170 -3.903540e-05  0.250000  2.223506e-06      NaN
230      Tavg_z0.001_t1       0  2.0  0.0   28  300.001164 -9.597301e-04  0.971621  1.492609e-06      NaN
231      Tavg_z0.001_t1       0  2.0  0.0   29  300.001168 -3.217091e-05  0.250000  7.525916e-07      NaN
232      Tavg_z0.001_t1       0  2.0  0.0   30  300.001170 -4.197349e-05  0.250000  2.021845e-06      NaN
233      Tavg_z0.001_t1       0  2.0  0.0   31  300.001166 -2.415717e-05  0.250000  2.896265e-06      NaN
234      Tavg_z0.001_t1       0  2.0  0.0   32  300.001163 -1.166226e-01  2.000000  1.497037e-06      NaN
235      Tavg_z0.001_t1       0  2.0  0.0   33  300.001171 -4.940499e-05  0.250000  2.662812e-06      NaN
236      Tavg_z0.001_t1       0  2.0  0.0   34  300.001165 -9.872083e-04  0.942364  1.065981e-06      NaN
237      Tavg_z0.001_t1       0  2.0  0.0   35  300.001162 -8.075402e-03  1.481067  2.290394e-06      NaN
