             QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
198  Temperature       0  1.0  1.0   97  307.251739  2.896377e+06  2.000000  3.540281e-04      NaN
199  Temperature       0  1.0  1.0   98  307.225740  5.423906e+05  1.780606  4.167091e-03      NaN
200  Temperature       0  1.0  1.0   99  307.249004  2.910857e+06  2.000000  1.336189e-14      NaN
201  Temperature       0  1.0  1.0  100  307.250229  1.863214e+06  1.945801  9.858683e-04      NaN
202  Temperature       0  2.0  0.0    0  307.246220  2.913056e+06  2.000000  6.181873e-03      NaN
203  Temperature       0  2.0  0.0    1  307.245714  1.466053e+06  1.913672  3.132312e-04      NaN
204  Temperature       0  2.0  0.0    2  307.247905  2.082984e+06  1.959570  7.892670e-05      NaN
205  Temperature       0  2.0  0.0    3  307.246137  2.915830e+06  2.000000  6.217879e-03      NaN
206  Temperature       0  2.0  0.0    4  307.244585  2.938341e+06  2.000000  5.895720e-03      NaN
207  Temperature       0  2.0  0.0    5  307.248500  2.929110e+06  2.000000  2.474913e-04      NaN
208  Temperature       0  2.0  0.0    6  307.249565  2.922813e+06  2.000000  1.224902e-03      NaN
209  Temperature       0  2.0  0.0    7  307.249606  2.922188e+06  2.000000  1.250674e-03      NaN
210  Temperature       0  2.0  0.0    8  307.248910  2.911095e+06  2.000000  1.298468e-04      NaN
211  Temperature       0  2.0  0.0    9  307.248337  2.930131e+06  2.000000  1.246059e-04      NaN
212  Temperature       0  2.0  0.0   10  307.235703  2.913056e+06  2.000000  7.135646e-15      NaN
213  Temperature       0  2.0  0.0   11  307.246790  2.098663e+06  1.957129  7.809757e-05      NaN
214  Temperature       0  2.0  0.0   12  307.251153  2.899757e+06  2.000000  8.805095e-04      NaN
215  Temperature       0  2.0  0.0   13  307.246924  2.924021e+06  2.000000  6.840103e-03      NaN
216  Temperature       0  2.0  0.0   14  307.248032  1.703276e+06  1.933594  1.284508e-03      NaN
217  Temperature       0  2.0  0.0   15  307.227757  1.039943e+06  1.861450  8.966554e-04      NaN
218  Temperature       0  2.0  0.0   16  307.248951  2.083512e+06  1.959863  1.017782e-03      NaN
219  Temperature       0  2.0  0.0   17  307.249223  2.180734e+06  1.965820  1.047495e-03      NaN
220  Temperature       0  2.0  0.0   18  307.227757  1.039943e+06  1.861450  8.966554e-04      NaN
221  Temperature       0  2.0  0.0   19  307.251311  2.673407e+06  1.989551  2.426971e-05      NaN
222  Temperature       0  2.0  0.0   20  307.239014  2.973173e+06  2.000000  5.780409e-03      NaN
223  Temperature       0  2.0  0.0   21  307.240124  2.016633e+06  1.950391  4.944685e-03      NaN
224  Temperature       0  2.0  0.0   22  307.240397  2.105991e+06  1.956055  4.914827e-03      NaN
225  Temperature       0  2.0  0.0   23  307.236471  9.949357e+05  1.861450  5.074331e-03      NaN
226  Temperature       0  2.0  0.0   24  307.245083  1.418676e+06  1.909277  3.403158e-04      NaN
227  Temperature       0  2.0  0.0   25  307.234017  9.837837e+05  1.856337  3.946871e-03      NaN
228  Temperature       0  2.0  0.0   26  307.243503  2.704626e+06  1.988477  5.840568e-03      NaN
229  Temperature       0  2.0  0.0   27  307.248705  2.914264e+06  2.000000  1.725239e-04      NaN
230  Temperature       0  2.0  0.0   28  307.249123  2.479614e+06  1.978613  8.265754e-04      NaN
231  Temperature       0  2.0  0.0   29  307.251200  2.897529e+06  2.000000  8.435348e-04      NaN
232  Temperature       0  2.0  0.0   30  307.242992  2.409173e+06  1.974023  5.891460e-03      NaN
233  Temperature       0  2.0  0.0   31  307.227735  1.007337e+06  1.857924  8.897990e-04      NaN
234  Temperature       0  2.0  0.0   32  307.248863  2.913324e+06  2.000000  1.668913e-04      NaN
235  Temperature       0  2.0  0.0   33  307.225264  7.325899e+05  1.816223  1.136173e-03      NaN
236  Temperature       0  2.0  0.0   34  307.238148  1.510856e+06  1.912109  5.186978e-03      NaN
237  Temperature       0  2.0  0.0   35  307.249324  2.134677e+06  1.963086  8.961121e-04      NaN
238  Temperature       0  2.0  0.0   36  307.248813  2.275725e+06  1.968164  8.017483e-04      NaN
239  Temperature       0  2.0  0.0   37  307.245695  2.931338e+06  2.000000  6.429295e-03      NaN
240  Temperature       0  2.0  0.0   38  307.234017  9.837837e+05  1.856337  3.946871e-03      NaN
241  Temperature       0  2.0  0.0   39  307.228063  1.083571e+06  1.866828  8.654226e-04      NaN
242  Temperature       0  2.0  0.0   40  307.244746  2.924168e+06  2.000000  5.578589e-03      NaN
243  Temperature       0  2.0  0.0   41  307.248937  2.880562e+06  1.998633  3.222395e-06      NaN
244  Temperature       0  2.0  0.0   42  307.246172  2.915285e+06  2.000000  6.219063e-03      NaN
245  Temperature       0  2.0  0.0   43  307.238442  1.577752e+06  1.917773  5.217420e-03      NaN
246  Temperature       0  2.0  0.0   44  307.247164  2.148615e+06  1.960254  1.997355e-04      NaN
247  Temperature       0  2.0  0.0   45  307.249614  2.922060e+06  2.000000  1.255696e-03      NaN
248  Temperature       0  2.0  0.0   46  307.249892  2.317605e+06  1.973828  1.082081e-03      NaN
249  Temperature       0  2.0  0.0   47  307.241632  1.660108e+06  1.928711  6.003215e-03      NaN
250  Temperature       0  2.0  0.0   48  307.228063  1.083571e+06  1.866828  8.654226e-04      NaN
251  Temperature       0  2.0  0.0   49  307.248951  2.083512e+06  1.959863  1.017782e-03      NaN
252  Temperature       0  2.0  0.0   50  307.234140  2.987058e+06  2.000000  1.236803e-03      NaN
253  Temperature       0  2.0  0.0   51  307.248223  2.930398e+06  2.000000  2.898346e-04      NaN
254  Temperature       0  2.0  0.0   52  307.248863  2.913324e+06  2.000000  1.668913e-04      NaN
255  Temperature       0  2.0  0.0   53  307.246878  2.104836e+06  1.957617  3.511563e-04      NaN
256  Temperature       0  2.0  0.0   54  307.237833  1.401429e+06  1.902930  5.163753e-03      NaN
257  Temperature       0  2.0  0.0   55  307.251828  2.516897e+06  1.984961  7.037013e-05      NaN
258  Temperature       0  2.0  0.0   56  307.249968  2.906402e+06  2.000000  1.102315e-03      NaN
259  Temperature       0  2.0  0.0   57  307.249628  2.492169e+06  1.980078  1.028473e-03      NaN
260  Temperature       0  2.0  0.0   58  307.235703  2.913056e+06  2.000000  7.135646e-15      NaN
261  Temperature       0  2.0  0.0   59  307.249968  2.906402e+06  2.000000  1.102315e-03      NaN
262  Temperature       0  2.0  0.0   60  307.244427  2.939281e+06  2.000000  5.830161e-03      NaN
263  Temperature       0  2.0  0.0   61  307.249606  2.922188e+06  2.000000  1.250674e-03      NaN
264  Temperature       0  2.0  0.0   62  307.251351  2.703572e+06  1.990918  2.112811e-05      NaN
265  Temperature       0  2.0  0.0   63  307.248283  1.720579e+06  1.934961  1.136241e-03      NaN
266  Temperature       0  2.0  0.0   64  307.246220  2.913056e+06  2.000000  6.181873e-03      NaN
267  Temperature       0  2.0  0.0   65  307.225264  7.325899e+05  1.816223  1.136173e-03      NaN
268  Temperature       0  2.0  0.0   66  307.234358  1.060432e+06  1.865506  3.971285e-03      NaN
269  Temperature       0  2.0  0.0   67  307.250130  2.903906e+06  2.000000  1.000910e-03      NaN
270  Temperature       0  2.0  0.0   68  307.248386  2.929377e+06  2.000000  3.892407e-04      NaN
271  Temperature       0  2.0  0.0   69  307.235859  1.302521e+06  1.893012  4.009077e-03      NaN
272  Temperature       0  2.0  0.0   70  307.249925  2.907075e+06  2.000000  1.122971e-03      NaN
273  Temperature       0  2.0  0.0   71  307.236109  1.344369e+06  1.897244  4.036355e-03      NaN
274  Temperature       0  2.0  0.0   72  307.249422  2.494891e+06  1.980078  1.173410e-03      NaN
275  Temperature       0  2.0  0.0   73  307.240774  2.947452e+06  2.000000  6.905607e-03      NaN
276  Temperature       0  2.0  0.0   74  307.247254  1.942438e+06  1.950391  1.292370e-05      NaN
277  Temperature       0  2.0  0.0   75  307.240561  2.950743e+06  2.000000  6.812119e-03      NaN
278  Temperature       0  2.0  0.0   76  307.248747  2.912116e+06  2.000000  1.531614e-04      NaN
279  Temperature       0  2.0  0.0   77  307.247747  2.839599e+06  2.000000  4.991195e-03      NaN
280  Temperature       0  2.0  0.0   78  307.246677  2.845976e+06  2.000000  4.441311e-03      NaN
281  Temperature       0  2.0  0.0   79  307.244956  2.920919e+06  2.000000  5.608383e-03      NaN
